Local authority name,House Prices,Year,Last Value,Rank
Barking and Dagenham,49995,1996,49000,32
Barking and Dagenham,50000,1996.25,49995,32
Barking and Dagenham,49995,1996.5,50000,32
Barking and Dagenham,49995,1996.75,49995,33
Barking and Dagenham,49950,1997,49995,33
Barking and Dagenham,50000,1997.25,49950,33
Barking and Dagenham,52000,1997.5,50000,33
Barking and Dagenham,53500,1997.75,52000,33
Barking and Dagenham,54995,1998,53500,33
Barking and Dagenham,56500,1998.25,54995,33
Barking and Dagenham,58000,1998.5,56500,33
Barking and Dagenham,59995,1998.75,58000,33
Barking and Dagenham,60000,1999,59995,33
Barking and Dagenham,60000,1999.25,60000,33
Barking and Dagenham,63000,1999.5,60000,33
Barking and Dagenham,65000,1999.75,63000,33
Barking and Dagenham,67000,2000,65000,33
Barking and Dagenham,70000,2000.25,67000,33
Barking and Dagenham,74995,2000.5,70000,33
Barking and Dagenham,78000,2000.75,74995,33
Barking and Dagenham,80000,2001,78000,33
Barking and Dagenham,83000,2001.25,80000,33
Barking and Dagenham,86000,2001.5,83000,33
Barking and Dagenham,89500,2001.75,86000,33
Barking and Dagenham,93000,2002,89500,33
Barking and Dagenham,99000,2002.25,93000,33
Barking and Dagenham,107000,2002.5,99000,33
Barking and Dagenham,115500,2002.75,107000,33
Barking and Dagenham,124000,2003,115500,33
Barking and Dagenham,131500,2003.25,124000,33
Barking and Dagenham,137000,2003.5,131500,33
Barking and Dagenham,140000,2003.75,137000,33
Barking and Dagenham,145000,2004,140000,33
Barking and Dagenham,150000,2004.25,145000,33
Barking and Dagenham,155750,2004.5,150000,33
Barking and Dagenham,160000,2004.75,155750,33
Barking and Dagenham,163000,2005,160000,33
Barking and Dagenham,164000,2005.25,163000,33
Barking and Dagenham,163000,2005.5,164000,33
Barking and Dagenham,163000,2005.75,163000,33
Barking and Dagenham,163000,2006,163000,33
Barking and Dagenham,164500,2006.25,163000,33
Barking and Dagenham,165000,2006.5,164500,33
Barking and Dagenham,168000,2006.75,165000,33
Barking and Dagenham,170000,2007,168000,33
Barking and Dagenham,175000,2007.25,170000,33
Barking and Dagenham,180000,2007.5,175000,33
Barking and Dagenham,185000,2007.75,180000,33
Barking and Dagenham,189995,2008,185000,33
Barking and Dagenham,191000,2008.25,189995,33
